"Part";"Value";"Device";"Package";"Description";"DIGIKEY_PARTNUM";"GNUM";"POPOP";
"C1";"1000pF";"C-USC1210";"C1210";"CAPACITOR, American symbol";"";"G10-C1210-C102-ZCA";"";
"C4";"0.1uF";"C-USC0402";"C0402";"CAPACITOR, American symbol";"";"G10-C0402-C104-HBA";"";
"C14";"1.0uF";"C-USC0402";"C0402";"CAPACITOR, American symbol";"";"G10-C0402-C105-GBB";"";
"C15";"2.2uF";"C-USC0603K";"C0603K";"CAPACITOR, American symbol";"311-1451-2-ND";"G10-C0603-C225-HBB";"";
"C16";"0.1uF";"C-USC0402";"C0402";"CAPACITOR, American symbol";"";"G10-C0402-C104-HBA";"";
"C17";"0.1uF";"C-USC0402";"C0402";"CAPACITOR, American symbol";"";"G10-C0402-C104-HBA";"";
"C18";"0.1uF";"C-USC0402";"C0402";"CAPACITOR, American symbol";"";"G10-C0402-C104-HBA";"";
"C22";"0.1uF";"C-USC0402";"C0402";"CAPACITOR, American symbol";"";"G10-C0402-C104-HBA";"";
"C31";"4700pF";"C-USC1812";"C1812";"CAPACITOR, American symbol";"";"G10-C1812-C472-ZBA";"";
"C40";"0.1uF";"C-USC0402";"C0402";"CAPACITOR, American symbol";"";"G10-C0402-C104-HBA";"";
"C41";"0.1uF";"C-USC0402";"C0402";"CAPACITOR, American symbol";"";"G10-C0402-C104-HBA";"";
"C42";"0.1uF";"C-USC0402";"C0402";"CAPACITOR, American symbol";"";"G10-C0402-C104-HBA";"";
"C43";"0.1uF";"C-USC0402";"C0402";"CAPACITOR, American symbol";"";"G10-C0402-C104-HBA";"";
"C44";"12pF";"C-USC0402";"C0402";"CAPACITOR, American symbol";"";"G10-C0402-C120-AAC";"";
"C45";"12pF";"C-USC0402";"C0402";"CAPACITOR, American symbol";"";"G10-C0402-C120-AAC";"";
"C46";"0.1uF";"C-USC0402";"C0402";"CAPACITOR, American symbol";"";"G10-C0402-C104-HBA";"";
"D0";"";"LEDCHIPLED_0603";"CHIPLED_0603";"LED";"";"G14-D0603-GR00-AAA";"";
"D1";"";"LEDCHIPLED_0603";"CHIPLED_0603";"LED";"";"G14-D0603-GR00-AAA";"";
"R9";"330";"R-US_R0402";"R0402";"RESISTOR, American symbol";"";"G11-R0402-3300-AAA";"";
"R21";"49.9";"R-US_R0402";"R0402";"RESISTOR, American symbol";"";"G11-R0402-49R9-ABA";"";
"R22";"49.9";"R-US_R0402";"R0402";"RESISTOR, American symbol";"";"G11-R0402-49R9-ABA";"";
"R23";"49.4";"R-US_R0402";"R0402";"RESISTOR, American symbol";"";"G11-R0402-49R9-ABA";"";
"R24";"49.9";"R-US_R0402";"R0402";"RESISTOR, American symbol";"";"G11-R0402-49R9-ABA";"";
"R25";"4.87k 1%";"R-US_R0402";"R0402";"RESISTOR, American symbol";"";"G11-R0402-4871-ABA";"";
"R32";"75";"R-US_R0402";"R0402";"RESISTOR, American symbol";"";"G11-R0402-75R0-AAA";"";
"R33";"330";"R-US_R0402";"R0402";"RESISTOR, American symbol";"";"G11-R0402-3300-AAA";"";
"R41";"0";"R-US_R0402";"R0402";"RESISTOR, American symbol";"";"G11-R0402-0000-AAA";"";
"R43";"75";"R-US_R0402";"R0402";"RESISTOR, American symbol";"";"G11-R0402-75R0-AAA";"";
"R44";"10k";"R-US_R0402";"R0402";"RESISTOR, American symbol";"";"G11-R0402-1002-AAA";"";
"R45";"75";"R-US_R0402";"R0402";"RESISTOR, American symbol";"";"G11-R0402-75R0-AAA";"";
"R46";"75";"R-US_R0402";"R0402";"RESISTOR, American symbol";"";"G11-R0402-75R0-AAA";"";
"R47";"1M";"R-US_R1206";"R1206";"RESISTOR, American symbol";"";"G11-R1206-R105-CAA";"";
"R49";"2k";"R-US_R0402";"R0402";"RESISTOR, American symbol";"";"G11-R0402-R202-AAA";"";
"R51";"100";"R-US_R0402";"R0402";"RESISTOR, American symbol";"";"G11-R0402-1000-AAA";"";
"RESET";"SWITCH_TACTILE";"SWITCH_TACTILE";"SWITCH_6MM_6MM_TE_CON_SMD";"";"";"G21-4P6MM-B3S1-AAA";"";
"U$1";"GC_MEMCARD_CON";"GC_MEMCARD_CON";"GC_MEMCARD_CON";"";"";"";"";
"U1";"TM4C1294NCPDT";"TM4C1294NCPDT";"TQFP-128";"";"";"G50-QF128-C1294-ALH";"";
"U10";"MAG_PULSE_HX1188FNL";"MAG_PULSE_HX1188FNL";"MAG_PULSE_HX1188FNL";"";"";"G12-SOI16-1TO1-ZZQ";"";
"U13";"SLVU2.8-4";"SLVU2.8-4";"D8";"";"";"G14-SOIC8-SLVU-DAA";"";
"U14";"JACK_RJ45_NOMAG_NOLED_TECON";"JACK_RJ45_NOMAG_NOLED_TECON";"RJ45_TE_CON_NOMAG_NOLED";"";"";"G20-8RJ45-ENET-AAA";"";
"Y1";"25Mhz";"NX3225GA";"NDK3.2X2.5";"";"";"G15-32X25-2506-AAA";"";
